word,avg_f1,avg_acc,Lemma,pos,entropy,num_senses,freq,Part of Speech
move.v,0.6060841504700267,0.6204016913319239,move.v,v,1.7890235700845696,4,228,Verb
change.n,0.5385126050420167,0.5433333333333333,change.n,n,1.781963881824319,4,103,Noun
end.n,0.7388560363659178,0.7411067193675889,end.n,n,1.7725433167801308,4,112,Noun
side.n,0.748314758912585,0.7728260869565217,side.n,n,1.7677549030282107,5,129,Noun
open.v,0.8306111293002049,0.832010582010582,open.v,v,1.7638640329207051,4,142,Verb
represent.v,0.5265973078253781,0.5380116959064327,represent.v,v,1.7633641984729462,4,104,Verb
receive.v,0.7133196473029991,0.7278205128205129,receive.v,v,1.7561056430619328,5,200,Verb
section.n,1.0,1.0,section.n,n,1.746881936456556,4,95,Noun
day.n,0.7521673131972751,0.7633896569380442,day.n,n,1.7446501694263057,4,313,Noun
place.n,0.6034647905700536,0.6083333333333333,place.n,n,1.7185194955193304,4,141,Noun
hold.v,0.7529694893972814,0.7571764705882353,hold.v,v,1.7156016683369506,4,267,Verb
think_of.v,0.5250517973075518,0.5433846153846154,think_of.v,v,1.7053342506164972,4,129,Verb
drive.v,0.4762947433356641,0.5,drive.v,v,1.6832921555763798,4,106,Verb
bring.v,0.6680942727309109,0.6788888888888888,bring.v,v,1.6529514490258512,4,227,Verb
state.n,0.8598831773099642,0.868421052631579,state.n,n,1.6511430259225932,4,190,Noun
part.n,0.8003699253343193,0.8077419354838709,part.n,n,1.6122057728385741,4,188,Noun
know.v,0.6971430192158741,0.7030016420361248,know.v,v,1.6034015080839683,5,872,Verb
suffer.v,0.7978354978354979,0.7714285714285715,suffer.v,v,1.584432282978147,3,52,Verb
form.v,0.7472624042624043,0.7516666666666667,form.v,v,1.5804875705837595,3,89,Verb
avoid.v,0.5365796829433194,0.5621212121212121,avoid.v,v,1.5801454700463617,3,60,Verb
perform.v,0.4962570762570763,0.5128205128205129,perform.v,v,1.5783064273267209,3,64,Verb
indicate.v,0.45535489275366353,0.45809523809523806,indicate.v,v,1.5722287630593852,3,177,Verb
spirit.n,0.9236363636363636,0.925,spirit.n,n,0.992476003943082,2,49,Noun
note.v,0.44071197453340316,0.43619047619047624,note.v,v,1.569616754514801,3,101,Verb
go.v,0.772533456854111,0.7785714285714286,go.v,v,1.5686808988303984,5,461,Verb
course.n,0.947927720107651,0.95359477124183,course.n,n,1.5663524721908524,4,99,Noun
paint.v,0.6579329004329004,0.6178571428571429,paint.v,v,1.5655740697939369,3,39,Verb
expression.n,0.6961904761904761,0.6599999999999999,expression.n,n,1.5597895278350613,3,46,Noun
direction.n,0.7060714285714286,0.6964285714285714,direction.n,n,1.543729625637546,3,48,Noun
corner.n,0.9703703703703704,0.9666666666666668,corner.n,n,1.5415242235276518,3,45,Noun
experience.n,0.6263839453706731,0.6320000000000001,experience.n,n,1.5358536364396158,3,125,Noun
stage.n,0.8256565656565658,0.8227272727272729,stage.n,n,1.5356567816703637,3,59,Noun
develop.v,0.6293318234280243,0.6267045454545455,develop.v,v,1.5338236975176884,4,166,Verb
refer.v,0.644968253968254,0.6511111111111111,refer.v,v,1.530618994848517,3,56,Verb
rise.v,0.8500413871842444,0.8505494505494505,rise.v,v,1.527178431943376,3,89,Verb
mark.v,0.8742377860235002,0.8714285714285713,mark.v,v,1.5240434731607448,3,53,Verb
performance.n,0.5910906685906686,0.590909090909091,performance.n,n,1.5233498010622486,3,59,Noun
strike.v,0.7131004489337822,0.7027777777777777,strike.v,v,1.5215018900472137,3,54,Verb
start.v,0.6557563186636488,0.6717948717948719,start.v,v,1.5188437932433765,4,258,Verb
space.n,0.6475108225108225,0.6761904761904762,space.n,n,0.8997437586982626,2,38,Noun
study.v,0.8087759099983209,0.8394736842105264,study.v,v,1.51772512199108,4,109,Verb
break.v,0.9276190476190477,0.9266666666666667,break.v,v,1.5166238110793633,3,50,Verb
get.v,0.6876577866896104,0.6940757405324334,get.v,v,1.5096363891492828,4,646,Verb
fire.v,0.6938261738261737,0.7333333333333333,fire.v,v,1.5083540234191586,3,53,Verb
contribute.v,0.6317692624835483,0.6527472527472528,contribute.v,v,1.5029852292101191,3,69,Verb
gain.v,0.51,0.49285714285714277,gain.v,v,1.5007878619027473,3,51,Verb
sense.n,0.94737332842596,0.9484848484848485,sense.n,n,0.9383153522334068,2,62,Noun
item.n,0.884122544122544,0.8858974358974357,item.n,n,1.491512321370904,3,63,Noun
answer.n,0.45287829817241587,0.49696969696969695,answer.n,n,1.489527402402549,3,58,Noun
plan.v,0.5677430575959989,0.6,plan.v,v,1.4824783834752846,3,82,Verb
hit.v,0.7551892551892552,0.7551282051282052,hit.v,v,1.4802633805403866,3,81,Verb
